FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Selenastrum gracile,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum
Sellaphora,,,,BN,2.8,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora alastos,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora americana,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora atomoides,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora bacilloides,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora bacillum,2,yes,,BN,5,,yes,,,,,low,low,MM,NALON,NALON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora crassulexigua,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora disjuncta,,,,BN,4,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora hustedtii,,,,BN,,,,,,,,,high,MM,,,DO_100,F,F,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora joubaudii,,,,BN,,,,,,,,,,MM,,,,FB,FB,BM,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora laevissima,3,,,BN,5,,yes,,,,,low,low,MM,NALON,NALON,DO_100,F,F,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora minima,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora mutata,,,,BN,,,,,,,,high,high,MM,,,,FB,FB,BM,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora nigri,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora nyassensis,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora pseudopupula,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora pupula,5,,yes,BN,2.6,,,,,,,high,high,MM,NAHON,NAHON,DO_50,FB,FB,AM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora rectangularis,,,,,4,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora saugerresii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora seminulum,3,,,BN,1.5,yes,,,,,,high,high,MM,NHHONF,Heterotroph,DO_30,FB,FB,AMPS,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora stroemii,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora utermoehlii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Seminavis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis
Seminavis pusilla,5,,yes,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis
Seminavis strigosa,,,,,3.3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis
Sheathia,,,,,,,,,,,,,low,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Sheathia
Sheathia arcuata,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Sheathia
Sheathia involuta,,,,,,,,,,,,,low,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Sheathia
Simonsenia,,,,BN,2.9,,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Simonsenia
Simonsenia delognei,3,,,BN,3,,,,,,,,high,HM,,,DO_100,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Simonsenia
Siphononema,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Siphononema
Siphononema polonicum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Siphononema
Sirodotia,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Sirodotia
Sirodotia huillensis,2,yes,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Sirodotia
Skeletonema potamos,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Mediophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema
Snowella,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Snowella
Snowella septentrionalis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella
Sorastrum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Sorastrum
Sorastruminulosum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Sorastrum
Sphaerobotrys,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerobotrys
Sphaerobotrys fluviatilis,4,,yes,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerobotrys
Sphaerocystis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerocystis
Sphaerocystis planctonica,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerocystis
Sphaerocystis schroeteri,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerocystis
Sphaeroplea,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleaceae,Sphaeroplea
Sphaeroplea annulina,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleaceae,Sphaeroplea
Spirogyra,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra australica,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra bellis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra borgeana,3,,,,,,,,,,,,low,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra catenaeformis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra colligata,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra daedaleoides,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra ellipsospora,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra fluviatilis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra grevilleana,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra juliana,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra kuusamoensis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra longata,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra lutetiana,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra majuscula,,,,,,,,,,,,,low,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra maxima,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra notabilis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra parvula,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra protecta,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra scrobiculata,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra setiformis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra teodoresci,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra varians,2,yes,,,,,,,,,,,low,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyra weberi,2,yes,,,,,,,,,,,low,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirogyrareeiana,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
Spirotaenia,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Spirotaenia
Spirotaenia condensata,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Spirotaenia
Spirulina,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Spirulina
Spirulina adriatica,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Spirulina
Spirulina corakiana,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Spirulina
Spirulina major,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Spirulina
Spirulina subtilissima,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Spirulina
Spirulina tenerrima,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Spirulina
Spondylosium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Desmidiales,Desmidiaceae,Spondylosium
Sporotetras,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Chlorococcales,Radiococcaceae,Sporotetras
Staurastrum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum alternans,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum anaticum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum avicula,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum bieneanum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum brebissonii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum cingulum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum dejectum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum dilatatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum furcigerum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum lapponicum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum muticum,,,,,,,,,,,,,,,,,,,,,,,,,,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum orbiculare,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum orbiculare var minor,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum orbiculare var ralfsii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum proboscideum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum punctulatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum punctulatum var subproductum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Staurastrum schimidlei var americanum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurastrum
Stauridium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Stauridium
Stauridium tetras,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Stauridium
Staurodesmus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurodesmus
Staurodesmus dejectus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurodesmus
Staurodesmus dejectus var apiculatus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurodesmus
Staurodesmus extensus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurodesmus
Staurodesmus megacanthus,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Staurodesmus
Stauroforma,,,,,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Stauroforma
Stauroforma atomus,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Stauroforma
Stauroforma exiguiformis,,,,,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Stauroforma
Stauroneis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis anceps,3,,,BN,5,,yes,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis gracilis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis kootenai,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis kriegeri,3,,,BN,4.8,,yes,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis legumen,,,,BN,3.8,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis lundii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis neohyalina,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis obtusa,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis phoenicenteron,3,,,BN,5,,yes,,,,,,,MM,NAHON,NAHON,DO_50,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis pikuni,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis producta,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis reichardtii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis separanda,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis smithii,4,,yes,BN,5,,yes,,,,,,,MM,NAHON,NAHON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis sonyae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis tackei,,,,BN,3,,,,,,,,,MM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis thermicola,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis undata,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis wislouchii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Staurosira,,,,BN,3.9,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira bidens,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens,4,,yes,BN,4,,yes,,,,,,,NM,NALON,NALON,DO_100,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var binodis,4,,yes,BN,4,,yes,,,,,,,NM,NAHON,NAHON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var exigua,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var pumila,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var venter,4,,yes,BN,4,,yes,,,,,,,NM,NAHON,NAHON,DO_100,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira incerta,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira punctiformis,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosirella,,,,BN,4.5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella berolinensis,,,,,3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella confusa,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella lapponica,3,,,BN,5,,yes,,,,,,low,NM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella leptostauron,3,,,BN,4,,yes,,,,,low,low,NM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella leptostauron var dubia,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella martyi,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella oldenburgiana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella pinnata,4,,yes,BN,4,,yes,,,,,low,high,NM,NAHON,NAHON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella pinnata var intercedens,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella pinnata var lancettula,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella rhomboides,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Stenopterobia,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia
Stenopterobia curvula,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia
Stenopterobia delicatissima,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia
Stephanodiscus,,,,P,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus alpinus,,,,,4,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus excentricus,,,,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus hantzschii,5,,yes,P,3,,,,,,,high,high,NM,NHHONF,Heterotroph,DO_30,FB,FB,AMPS,PH,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus medius,4,,yes,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus minutulus,,,,P,4,,yes,,,,,high,,NM,NAHON,NAHON,DO_50,FB,FB,AM,PH,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus niagarae,4,,yes,P,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus parvus,,,,P,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stigeoclonium,4,,yes,,,,,,,,,,,,,,,,,,,,,yes,yes,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Stigeoclonium
