FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus
Scenedesmus intermedius,5,,No,high,high,NI,NI,high,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus intermedius var acutispinus,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus intermedius var balatonicus,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus kissii,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus komarekii,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus longus,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus magnus,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus microspina,4,,No,NI,high,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus obliquus,4,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus obtusus,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus opoliensis,5,,No,NI,high,NI,NI,high,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus opoliensis var carinatus,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus opoliensis var mononensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus pannonicus,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus protuberans,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus raciborskii,5,,No,high,high,NI,high,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus semipulcher,4,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus serratus,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus smithii,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Scenedesmus subspicatus,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Schizochlamys,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Chlamydomonadales,Tetrasporaceae,Schizochlamys
Schizochlamys gelatinosa,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Chaetopeltidales,Chaetopeltidaceae,Schizochlamys
Selenastrum,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum
Selenastrum gracile,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum
Sorastrum,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Sorastrum
Sorastruminulosum,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Sorastrum
Sphaerobotrys,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerobotrys
Sphaerobotrys fluviatilis,4,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerobotrys
Sphaerocystis,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerocystis
Sphaerocystis planctonica,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerocystis
Sphaerocystis schroeteri,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,Sphaerocystis
Sphaeroplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleaceae,Sphaeroplea
Sphaeroplea annulina,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleaceae,Sphaeroplea
Sporotetras,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Chlorococcales,Radiococcaceae,Sporotetras
Stauridium,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Stauridium
Stauridium tetras,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Stauridium
Tetraedron,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Tetraedron
Tetraedron caudatum,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Tetraedron
Tetraedron incus,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Tetraedron
Tetraedron minimum,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Tetraedron
Tetraselmis,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Prasinophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis
Tetraspora,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Tetraspora
Tetraspora gelatinosa,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Tetraspora
Tetraspora lubrica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,Tetraspora
Tetrasporaceae,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Tetrasporaceae,NA
Tetrasporales,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,NA,NA
Tetrasporidium,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Tetrasporidium
Tetrasporidium javanicum,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Tetrasporidium
Tetrastrum,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum
Tetrastrum komarekii,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum
Tetrastrum staurogeniiforme,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum
Tetrastrum triangulare,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetrastrum
Trebouxia,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia
Trochiscia,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Trochiscia
Trochiscia reticularis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Trochiscia
Ulothrix,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Ulothrix aequalis,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Ulothrix tenerrima,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Ulothrix tenuissima,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Ulothrix zonata,3,,No,NI,low,RF,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Ulva,,,No,NI,high,NRF,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva
Uronema,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Uronema
Uronema confervicola,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Uronema
Uronema elongatum,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,,,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Uronema
Chroomonadaceae,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonadaceae,NA
Chroomonas,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonadaceae,Chroomonas
Chroomonas nordstedtii,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonadaceae,Chroomonas
Chroomonas pulex,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Pyrenomonadales,Chroomonadaceae,Chroomonas
Cryptomonadaceae,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,NA
Cryptomonas,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas anomala,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas erosa,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas ovata,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptophyta,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,NA,NA,NA,NA
Rhodomonas,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas
Anabaena,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena aequalis,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena californica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena catenula,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena cylindrica,,,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena felisii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena inaequalis,,,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena iyengarii,,,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena lapponica,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena oscillarioides,,,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena planctonica,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena portoricensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena saaremaaensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena sphaerica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena subcylindrica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaena variabilis,,,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena
Anabaenopsis,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis
Anabaenopsis elenkinii,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis
Aphanizomenon,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon
Aphanizomenon flos-aquae,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon
Aphanocapsa,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa delicatissima,4,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa elachista,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa grevillei,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa holsatica,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa hyalina,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa incerta,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa parasitica,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa planctonica,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanocapsa rivularis,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
Aphanothece,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece caldariorum,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece clathrata,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece elabens,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece floccosa,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece minutissima,3,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece nebulosa,2,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece nidulans,3,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece saxicola,,,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Aphanothece stagnina,3,,No,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Arthrospira,,,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira
Arthrospira corkiana,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Arthrospira
Bacularia,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Bacularia
Bacularia vermicularis,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Bacularia
Brachynema,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Chroococcales,Hyellaceae,Brachynema
Calothrix,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix atricha,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix breviarticulata,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix brevissima,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix clavata,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix confervicola,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix crustacea,,,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix epiphytica,3,,Yes,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix fusca,3,,Yes,NI,NI,NI,low,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix kossinskajae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix linearis,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix marchica,2,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix parietina,2,,Yes,NI,NI,RF,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix pulvinata,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix scytonemicola,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix stagnalis,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Calothrix wembaerensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix
Capsosira,,,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira
Capsosira brebissonii,,,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,,,Cyanobacteria,Cyanophyceae,Nostocales,Stigonemataceae,Capsosira
Chamaesiphon,2,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon
